linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
27,Zaman,3/5 Stars,27-01-21,Delivery was very late although food was yummy AF.,Faisalabad
27,Rehan,5/5 Stars,26-01-21,Amazing,Faisalabad
27,Doctor,1/5 Stars,25-01-21,Taste was not good,Faisalabad
27,Tehreem,1/5 Stars,20-01-21,"The pizzas gave 3 out of 4 of us food poisoning.
Plus they gave us two different flavours at different orders when we ordered the same thing.
Their special fries are ALWAYS ordered wrong, always.",Faisalabad
27,Waheed,5/5 Stars,18-01-21,Good 👍,Faisalabad
27,Muddasar,3/5 Stars,17-01-21,Average taste,Faisalabad
27,Muhammad,3/5 Stars,17-01-21,"The packing of food in the worst form,
I order i steak, 2 burgers. 
The packing of steak was in worst form, and all are item pack in the same packet that why all sauce of steak was mix with burgers and the sauce was not in good condition. The burger was better overall but all sauce of mixed the raper of burger 🍔",Faisalabad
27,Muhammad,1/5 Stars,15-01-21,the package looked like came from some other restaurant. No proper chicken was in the Pizza and the boxes were also not same as from godfather,Faisalabad
27,Shawal,1/5 Stars,07-01-21,The burger was completely dry.. there was no sauce in the burger and the fillet was over fried in dark brown color.. So disappointed,Faisalabad
27,tauseef,1/5 Stars,04-01-21,Very bad taste,Faisalabad
27,Hadeed,5/5 Stars,01-01-21,Just wow,Faisalabad
27,Khan,2/5 Stars,31-12-20,too much  expensive or itny small wings wo bhe only 6,Faisalabad
27,Naeem,1/5 Stars,30-12-20,Tikki burger,Faisalabad
27,MuhammadInam,4/5 Stars,26-12-20,Good,Faisalabad
27,Hadeed,5/5 Stars,24-12-20,Wow,Faisalabad
27,Haidar,1/5 Stars,23-12-20,Worst food worst,Faisalabad
27,Mehak,3/5 Stars,22-12-20,"I ordered jalapeno burger, but there was no jelapeno in it",Faisalabad
27,Hadeed,5/5 Stars,21-12-20,Just Wow,Faisalabad
27,Waqas,4/5 Stars,21-12-20,"Jalapeño n pepperoni was missing, oversall taste was very good",Faisalabad
27,Usman,4/5 Stars,21-12-20,Over all good,Faisalabad
27,Faisal,5/5 Stars,21-12-20,"Good pizza 
And Thanks Foodpanda",Faisalabad
27,Siyal,1/5 Stars,15-12-20,Piza is not hot it seems that delivery made after 1 hour,Faisalabad
27,MuhammadAhmad,1/5 Stars,14-12-20,Chicken Petty was like chicken crackers,Faisalabad
28,SyedAhmed,1/5 Stars,12-07-21,The cold drink was not chilled and i ordered for a coke bht they sent sprite instead,Faisalabad
