linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
15,Mazhar,3/5 Stars,18-07-21,I wrote in instructions to send mashed potatoes but even then fries came. That was disappointing coz I praised your restaurant a lot infront of family before ordering. But the steak was good Alhamdulillah,Islamabad
15,Maha,5/5 Stars,14-07-21,The mushroom panini and stuffed strips are great!,Islamabad
15,moiz,1/5 Stars,09-07-21,too expensive. average taste. too less,Islamabad
15,raabia,1/5 Stars,08-07-21,"Never ... 
Very bad taste",Islamabad
15,Adnan,3/5 Stars,08-06-21,"Parmesan was very raw and salty, could barely gulp second bite so nada on that however the burger was good as always.",Islamabad
15,Rida,4/5 Stars,29-05-21,"Ordered two Mushroom Soups. I liked them, just add more mushrooms and chicken, they were too little and the portions were lacking too.",Islamabad
15,Masab,5/5 Stars,30-04-21,Food quality was good.,Islamabad
15,Alamgir,5/5 Stars,27-04-21,Lokal is consistent with their good taste at this discounted rate. Definitely would order again.,Islamabad
15,Kanwal,3/5 Stars,21-04-21,"A regular customer.. The size of burgers has changed, they are super tiny now.. Not happy with this change..",Islamabad
15,Aithsam,3/5 Stars,16-04-21,"South western baked pasta used to be good, but today the quality was not up to mark,it was spicy and nothing like what it used to be.  Also no suasage as mentioned. Only contained chicken pieces,pasta sauce and cheese assembled together",Islamabad
15,Rida,4/5 Stars,11-04-21,Good taste but the quantity for both soups was so little 😑,Islamabad
15,Rida,4/5 Stars,08-04-21,Love the mushroom soup and grilled chicken salad. Quality was okay and the taste was great.,Islamabad
15,Muhamad,2/5 Stars,08-04-21,No Spoon/fork was there. Had to eat with hands.,Islamabad
15,Ahmed,1/5 Stars,06-04-21,Worse chicken wings I ever had. They were not even cooked.,Islamabad
15,Hareem,4/5 Stars,02-04-21,"The south baked pasta was really good, quality was less though",Islamabad
15,Waqas,1/5 Stars,23-03-21,I have ordered potatoe wedges and trust me these were one of the worst I ever had in my life . Wedges was like pokara.im regular customer of lokal eat out but potatoe wedges literally disappointed me .tasteless and were like pokara ( same dressing like pokara and very hard to eat),Islamabad
15,Mano,2/5 Stars,19-03-21,Akhri pasta akhri order.,Islamabad
15,Madeeha,5/5 Stars,18-03-21,Best for the price ad taste!!!,Islamabad
15,MalikUzair,1/5 Stars,13-03-21,Ordered Lasgana. It tasted so bland. Sheets tasted like they were boiled in water. 600 for nothing 🥺🥺,Islamabad
15,Faisal,5/5 Stars,12-03-21,Good,Islamabad
15,Maryam,1/5 Stars,07-03-21,Worst food ever,Islamabad
15,Rida,4/5 Stars,25-02-21,The mushroom soup and grilled chicken salad are my favourite. Good job.,Islamabad
15,Raheem,5/5 Stars,20-02-21,The taste is super 👌,Islamabad
15,Maryam,1/5 Stars,18-02-21,Pathetic quality n quantity was not worthy it was not even enough for 1 person if they r offering some 20% off they have degrade the quantity less then 50%,Islamabad
15,Arooj,5/5 Stars,17-02-21,Food is always up to the point <3,Islamabad
15,Aman,5/5 Stars,15-02-21,"Really good food. The dumplin soon, the fires and the double decker buger were fantastic.",Islamabad
